student_id,precision@3,recall@3
6516,1.0,0.42857142857142855
8462,1.0,0.3333333333333333
11391,1.0,0.5
23629,1.0,0.6
23698,1.0,0.375
23798,1.0,0.3333333333333333
24186,1.0,0.5
24213,1.0,0.3333333333333333
24391,1.0,0.42857142857142855
24734,1.0,0.42857142857142855
25107,1.0,0.3333333333333333
25150,1.0,0.375
25261,1.0,0.42857142857142855
25572,1.0,0.5
25629,0.6666666666666666,1.0
25997,0.6666666666666666,1.0
26023,1.0,0.42857142857142855
26192,1.0,0.42857142857142855
26211,1.0,0.2
26247,1.0,0.3333333333333333
26315,1.0,0.3
26734,1.0,0.3333333333333333
26915,1.0,0.6
27116,1.0,0.3333333333333333
27189,1.0,0.2727272727272727
27417,1.0,0.3
27683,1.0,0.2727272727272727
27759,1.0,0.375
27780,1.0,0.42857142857142855
27891,1.0,0.42857142857142855
27935,1.0,0.3333333333333333
28046,1.0,0.375
28061,1.0,0.375
28400,1.0,0.42857142857142855
28418,1.0,0.42857142857142855
28787,1.0,0.375
28808,1.0,0.3333333333333333
28897,1.0,0.21428571428571427
28952,1.0,0.42857142857142855
29144,1.0,0.375
29335,1.0,0.21428571428571427
29411,1.0,0.2727272727272727
29420,1.0,0.375
29639,1.0,0.2727272727272727
29764,1.0,0.375
29769,1.0,0.3
29820,1.0,0.3
29985,1.0,0.5
30091,1.0,0.42857142857142855
30096,1.0,0.375
